Name,Description,Image URL,Detail URL,Sweet/Tart Rating
Jonagold,"Jonagold is another success story from the New York State Agricultural Experiment Station in Geneva. It's a cross between mellow Golden Delicious and tart Jonathan apples, and creates a great aroma when baked in apple pies.",https://www.applesfromny.com/wp-content/uploads/2020/05/Jonagold_NYAS-Apples2.png,https://www.applesfromny.com/varieties/jonagold/,3 of 7 sweet
Jonamac,"A cross between Jonathan and McIntosh apples, Jonamac is closer to a McIntosh in terms of flavor, just a bit sweeter. Many people love the touch-of-honey taste of a Jonamac, a great eating apple.",https://www.applesfromny.com/wp-content/uploads/2020/05/Jonamac_NYAS-Apples2.png,https://www.applesfromny.com/varieties/jonamac/,6 of 7 sweet
Macoun,"Looking for a perfect, no-fat dessert that will satisfy your sweet tooth? Macoun is the answer, but make sure you get yours at the right time, as these special apples are only available in the fall. Macoun was developed at the New York State Agricultural Experiment Station in Geneva in 1932, and is named for a famous Canadian fruit breeder.",https://www.applesfromny.com/wp-content/uploads/2020/06/MacounNEW.png,https://www.applesfromny.com/varieties/macoun/,5 of 7 sweet
McIntosh,"Juicy, tangy and aromatic. An all-time favorite for fresh eating and baking.",https://www.applesfromny.com/wp-content/uploads/2020/08/McIntosh_NYAS-Apples.png,https://www.applesfromny.com/varieties/mcintosh/,6 of 7 sweet
Paula Red,"If you like tart apples, take a healthy bite of a Paula Red. It's one of our earliest varieties to be harvested, and the first taste of fall for many apple lovers. Pick or shop early, because Paula Reds are only available from late August into October.",https://www.applesfromny.com/wp-content/uploads/2020/05/PaulaRed_NYAS-Apples2.png,https://www.applesfromny.com/varieties/paula-red/,7 of 7 sweet
Red Delicious,"These popular, mildly sweet apples are grown across the country, but only a New York Red Delicious has the slight tartness that gives this apple flavorful depth. If you haven’t tried a New York Red Delicious, you haven’t tried what we consider the best Delicious.",https://www.applesfromny.com/wp-content/uploads/2020/06/Red-DeliciousNEW.png,https://www.applesfromny.com/varieties/red-delicious/,4 of 7 sweet
Rome,"Great-looking fried apple slices, sitting next to a pork chop, are probably Romes. These superb apples retain their shape and tart flavor beautifully when cooked. This old-time variety originated in Ohio in 1816 but is widely grown in New York State.",https://www.applesfromny.com/wp-content/uploads/2020/05/Rome_NYAS-Apples2.png,https://www.applesfromny.com/varieties/rome/,6 of 7 sweet
RubyFrost®,"10 years in the making and developed by Cornell University’s apple breeding program, RubyFrost apples reach their peak flavor in the winter months. RubyFrost is an excellent choice for warm seasonal dishes, as well as an ideal baking apple thanks to its plump, luscious size. RubyFrost apples are the perfect balance of sweet and tart, deep and rich with a hearty crunch and ideal crisp texture. Be sure to try RubyFrost’s cousin apple, SnapDragon, which was also developed by Cornell University.",https://www.applesfromny.com/wp-content/uploads/2020/06/RubyFrostNEW.png,https://www.applesfromny.com/varieties/rubyfrost/,5 of 7 sweet
SnapDragon®,"A new New York apple characterized by “monster crunch.” One of its parents is the Honeycrisp, and you’ll love the spicy/sweet flavor. Along with RubyFrost®, SnapDragon is one of two exciting new apples that were 10 years in the making and developed by Cornell University’s apple breeding program.",https://www.applesfromny.com/wp-content/uploads/2020/06/SnapdragonNEW.png,https://www.applesfromny.com/varieties/snapdragon/,3 of 7 sweet
SweeTango®,"Crunchy and sweet with a touch of citrus, honey and spice; an offspring of Honeycrisp and Zestar!",https://www.applesfromny.com/wp-content/uploads/2020/08/SweeTango_NYAS-Apples2.png,https://www.applesfromny.com/varieties/sweetango/,4 of 7 sweet
WildTwist®,Two legendary apples have come together in a WildTwist®.,https://www.applesfromny.com/wp-content/uploads/2024/01/wildtwist-lg.png,https://www.applesfromny.com/varieties/wildtwist/,4 of 7 sweet
Zestar!®,"An early season apple that’s juicy, with a light and crisp texture. Developed at the University of Minnesota, Zestar! trees are especially hardy and handle cold weather beautifully. Like the name says, there’s zesty flavor and crunch when you bite into one.",https://www.applesfromny.com/wp-content/uploads/2020/08/Zestar_NYAS-Apples3.png,https://www.applesfromny.com/varieties/zestar/,6 of 7 sweet
